Procedure date,Patient...2,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,"Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Total fluoro time (sec),Total fluoro time (min),ID,Occupation,Dose
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,Faculty,2.77
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,Tech 1,0.25
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,Resident 1,21.65
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,Resident 2,1.84
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,TEE,9.25
2021-11-10T00:00:00Z,Blake,266575,21.9,2021-01-01T00:00:00Z,313,10.43333333,Canine,BPV,55,N,549,9.15,5,Anesthesia,18.39
2021-11-12T00:00:00Z,Cleo,267139,28.8,2016-11-11T00:00:00Z,1827,60.9,Canine,PMI,106,N,222,3.7,6,Faculty,9.89
2021-11-12T00:00:00Z,Cleo,267139,28.8,2016-11-11T00:00:00Z,1827,60.9,Canine,PMI,106,N,222,3.7,6,Tech 1,0.11
2021-11-12T00:00:00Z,Cleo,267139,28.8,2016-11-11T00:00:00Z,1827,60.9,Canine,PMI,106,N,222,3.7,6,Resident 1,30.12
2021-11-12T00:00:00Z,Cleo,267139,28.8,2016-11-11T00:00:00Z,1827,60.9,Canine,PMI,106,N,222,3.7,6,Anesthesia,4.83
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,Faculty,0.2
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,Tech 1,0.02
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,Resident 1,5.74
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,Resident 2,0.1
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,TEE,1.07
2021-11-24T00:00:00Z,Bailey,267287,3.4,2021-07-24T00:00:00Z,123,4.1,Canine,PDA,65,N,339,5.65,7,Anesthesia,0.87
2021-12-01T00:00:00Z,Niko,1086650,3.2,2021-08-22T00:00:00Z,101,3.366666667,Canine,BPV,40,N,318,5.3,8,Faculty,2.97
2021-12-01T00:00:00Z,Niko,1086650,3.2,2021-08-22T00:00:00Z,101,3.366666667,Canine,BPV,40,N,318,5.3,8,Tech 1,0.05
2021-12-01T00:00:00Z,Niko,1086650,3.2,2021-08-22T00:00:00Z,101,3.366666667,Canine,BPV,40,N,318,5.3,8,Resident 1,19.78
2021-12-01T00:00:00Z,Niko,1086650,3.2,2021-08-22T00:00:00Z,101,3.366666667,Canine,BPV,40,N,318,5.3,8,Resident 2,0.03
2021-12-01T00:00:00Z,Niko,1086650,3.2,2021-08-22T00:00:00Z,101,3.366666667,Canine,BPV,40,N,318,5.3,8,Anesthesia,1.51
2021-12-15T00:00:00Z,Margo,267046,4.2,2021-07-23T00:00:00Z,145,4.833333333,Canine,BPV,120,N,425,7.083333333,9,Faculty,0.13
2021-12-15T00:00:00Z,Margo,267046,4.2,2021-07-23T00:00:00Z,145,4.833333333,Canine,BPV,120,N,425,7.083333333,9,Tech 1,0.16
2021-12-15T00:00:00Z,Margo,267046,4.2,2021-07-23T00:00:00Z,145,4.833333333,Canine,BPV,120,N,425,7.083333333,9,Resident 1,11.63
2021-12-15T00:00:00Z,Margo,267046,4.2,2021-07-23T00:00:00Z,145,4.833333333,Canine,BPV,120,N,425,7.083333333,9,Resident 2,1.07
2021-12-15T00:00:00Z,Margo,267046,4.2,2021-07-23T00:00:00Z,145,4.833333333,Canine,BPV,120,N,425,7.083333333,9,Anesthesia,5.28
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,Faculty,1.05
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,Tech 1,0
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,Resident 1,37.32
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,Resident 2,1.12
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,TEE,3.92
2021-12-22T00:00:00Z,Prudence,268396,20.4,2015-11-21T00:00:00Z,2223,74.1,Canine,PMI,123,N,267,4.45,10,Anesthesia,0.56
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,Faculty,3.43
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,Tech 1,0.12
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,Resident 1,9.27
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,Resident 2,1.36
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,TEE,2.17
2021-12-29T00:00:00Z,Wile E,268555,19.9,2021-01-23T00:00:00Z,340,11.33333333,Canine,PDA,70,N,368,6.133333333,11,Anesthesia,12.19
2022-01-05T00:00:00Z,Kobra,268314,4.5,2020-05-23T00:00:00Z,592,19.73333333,Canine,PDA,94,N,212,3.533333333,12,Faculty,1.2
2022-01-05T00:00:00Z,Kobra,268314,4.5,2020-05-23T00:00:00Z,592,19.73333333,Canine,PDA,94,N,212,3.533333333,12,Tech 1,0
2022-01-05T00:00:00Z,Kobra,268314,4.5,2020-05-23T00:00:00Z,592,19.73333333,Canine,PDA,94,N,212,3.533333333,12,Resident 1,5.99
2022-01-05T00:00:00Z,Kobra,268314,4.5,2020-05-23T00:00:00Z,592,19.73333333,Canine,PDA,94,N,212,3.533333333,12,TEE,0.75
2022-01-05T00:00:00Z,Kobra,268314,4.5,2020-05-23T00:00:00Z,592,19.73333333,Canine,PDA,94,N,212,3.533333333,12,Anesthesia,3.68
2022-01-06T00:00:00Z,Pepper,268723,25.5,2021-02-18T00:00:00Z,322,10.73333333,Canine,PDA,135,N,200,3.333333333,13,Faculty,1.38
2022-01-06T00:00:00Z,Pepper,268723,25.5,2021-02-18T00:00:00Z,322,10.73333333,Canine,PDA,135,N,200,3.333333333,13,Tech 1,0.06
2022-01-06T00:00:00Z,Pepper,268723,25.5,2021-02-18T00:00:00Z,322,10.73333333,Canine,PDA,135,N,200,3.333333333,13,Resident 1,4.17
2022-01-06T00:00:00Z,Pepper,268723,25.5,2021-02-18T00:00:00Z,322,10.73333333,Canine,PDA,135,N,200,3.333333333,13,TEE,0.89
2022-01-06T00:00:00Z,Pepper,268723,25.5,2021-02-18T00:00:00Z,322,10.73333333,Canine,PDA,135,N,200,3.333333333,13,Anesthesia,1
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,Faculty,0.02
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,Tech 1,0
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,Resident 1,0.59
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,Resident 2,1.02
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,TEE,0.03
2022-01-19T00:00:00Z,Gus,268280,3.98,2021-10-17T00:00:00Z,94,3.133333333,Canine,PDA,78,N,156,2.6,14,Anesthesia,1.54
2022-01-26T00:00:00Z,Charlie,269411,8.04,2012-10-08T00:00:00Z,3397,113.2333333,Canine,PMI,45,N,556,9.266666667,15,Faculty,11.24
2022-01-26T00:00:00Z,Charlie,269411,8.04,2012-10-08T00:00:00Z,3397,113.2333333,Canine,PMI,45,N,556,9.266666667,15,Tech 1,4.5
2022-01-26T00:00:00Z,Charlie,269411,8.04,2012-10-08T00:00:00Z,3397,113.2333333,Canine,PMI,45,N,556,9.266666667,15,Resident 1,98.66
2022-01-26T00:00:00Z,Charlie,269411,8.04,2012-10-08T00:00:00Z,3397,113.2333333,Canine,PMI,45,N,556,9.266666667,15,Anesthesia,5.12
2022-02-01T00:00:00Z,Kimberly Elise,202898,34,2009-03-05T00:00:00Z,4716,157.2,Canine,PMI,140,N,178,2.966666667,16,Faculty,7.02
2022-02-01T00:00:00Z,Kimberly Elise,202898,34,2009-03-05T00:00:00Z,4716,157.2,Canine,PMI,140,N,178,2.966666667,16,Tech 1,0.28
2022-02-01T00:00:00Z,Kimberly Elise,202898,34,2009-03-05T00:00:00Z,4716,157.2,Canine,PMI,140,N,178,2.966666667,16,Resident 1,21.63
2022-02-01T00:00:00Z,Kimberly Elise,202898,34,2009-03-05T00:00:00Z,4716,157.2,Canine,PMI,140,N,178,2.966666667,16,Anesthesia,3.74
2022-02-02T00:00:00Z,Abby,268254,7.8,2021-09-03T00:00:00Z,152,5.066666667,Canine,BPV,55,N,155,2.583333333,17,Faculty,0.05
2022-02-02T00:00:00Z,Abby,268254,7.8,2021-09-03T00:00:00Z,152,5.066666667,Canine,BPV,55,N,155,2.583333333,17,Tech 1,0
2022-02-02T00:00:00Z,Abby,268254,7.8,2021-09-03T00:00:00Z,152,5.066666667,Canine,BPV,55,N,155,2.583333333,17,Resident 1,15.44
2022-02-02T00:00:00Z,Abby,268254,7.8,2021-09-03T00:00:00Z,152,5.066666667,Canine,BPV,55,N,155,2.583333333,17,Resident 2,1.26
2022-02-02T00:00:00Z,Abby,268254,7.8,2021-09-03T00:00:00Z,152,5.066666667,Canine,BPV,55,N,155,2.583333333,17,Anesthesia,2.84
2022-02-02T00:00:00Z,Tiburon,265264,30.2,2020-02-16T00:00:00Z,717,23.9,Canine,BPV,49,N,601,10.01666667,18,Faculty,0.54
2022-02-02T00:00:00Z,Tiburon,265264,30.2,2020-02-16T00:00:00Z,717,23.9,Canine,BPV,49,N,601,10.01666667,18,Tech 1,0.44
2022-02-02T00:00:00Z,Tiburon,265264,30.2,2020-02-16T00:00:00Z,717,23.9,Canine,BPV,49,N,601,10.01666667,18,Resident 1,2.87
2022-02-02T00:00:00Z,Tiburon,265264,30.2,2020-02-16T00:00:00Z,717,23.9,Canine,BPV,49,N,601,10.01666667,18,Resident 2,10.9
2022-02-02T00:00:00Z,Tiburon,265264,30.2,2020-02-16T00:00:00Z,717,23.9,Canine,BPV,49,N,601,10.01666667,18,Anesthesia,49.99
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,Faculty,7.45
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,Tech 1,0.05
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,Resident 1,117.25
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,Resident 2,1.54
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,TEE,0.44
2022-02-09T00:00:00Z,Baxter,268261,9.5,2020-03-12T00:00:00Z,699,23.3,Canine,BPV,60,N,356,5.933333333,19,Anesthesia,27.8
2022-02-10T00:00:00Z,Dodge,267594,13.4,2021-08-04T00:00:00Z,190,6.333333333,Canine,BPV,87,N,839,13.98333333,20,Faculty,5.76
2022-02-10T00:00:00Z,Dodge,267594,13.4,2021-08-04T00:00:00Z,190,6.333333333,Canine,BPV,87,N,839,13.98333333,20,Tech 1,0.05
2022-02-10T00:00:00Z,Dodge,267594,13.4,2021-08-04T00:00:00Z,190,6.333333333,Canine,BPV,87,N,839,13.98333333,20,Resident 1,196
2022-02-10T00:00:00Z,Dodge,267594,13.4,2021-08-04T00:00:00Z,190,6.333333333,Canine,BPV,87,N,839,13.98333333,20,Resident 2,6.47
2022-02-10T00:00:00Z,Dodge,267594,13.4,2021-08-04T00:00:00Z,190,6.333333333,Canine,BPV,87,N,839,13.98333333,20,Anesthesia,37.2
2022-02-15T00:00:00Z,Simon,269988,9.56,2010-02-08T00:00:00Z,4390,146.3333333,Canine,PMI,50,N,127,2.116666667,21,Faculty,0.54
2022-02-15T00:00:00Z,Simon,269988,9.56,2010-02-08T00:00:00Z,4390,146.3333333,Canine,PMI,50,N,127,2.116666667,21,Tech 1,0.05
2022-02-15T00:00:00Z,Simon,269988,9.56,2010-02-08T00:00:00Z,4390,146.3333333,Canine,PMI,50,N,127,2.116666667,21,Resident 1,16
2022-02-15T00:00:00Z,Simon,269988,9.56,2010-02-08T00:00:00Z,4390,146.3333333,Canine,PMI,50,N,127,2.116666667,21,Resident 2,0.52
2022-02-15T00:00:00Z,Simon,269988,9.56,2010-02-08T00:00:00Z,4390,146.3333333,Canine,PMI,50,N,127,2.116666667,21,Anesthesia,2.02
2022-02-16T00:00:00Z,Woody,267732,21.4,2017-12-01T00:00:00Z,1538,51.26666667,Canine,BPV,65,N,452,7.533333333,22,Faculty,0.71
2022-02-16T00:00:00Z,Woody,267732,21.4,2017-12-01T00:00:00Z,1538,51.26666667,Canine,BPV,65,N,452,7.533333333,22,Tech 1,0.08
2022-02-16T00:00:00Z,Woody,267732,21.4,2017-12-01T00:00:00Z,1538,51.26666667,Canine,BPV,65,N,452,7.533333333,22,Resident 1,35
2022-02-16T00:00:00Z,Woody,267732,21.4,2017-12-01T00:00:00Z,1538,51.26666667,Canine,BPV,65,N,452,7.533333333,22,Resident 2,9.65
2022-02-16T00:00:00Z,Woody,267732,21.4,2017-12-01T00:00:00Z,1538,51.26666667,Canine,BPV,65,N,452,7.533333333,22,Anesthesia,16.54
2022-02-16T00:00:00Z,Nellie,270022,22.7,2011-02-08T00:00:00Z,4026,134.2,Canine,PMI,120,N,286,4.766666667,23,Faculty,2.25
2022-02-16T00:00:00Z,Nellie,270022,22.7,2011-02-08T00:00:00Z,4026,134.2,Canine,PMI,120,N,286,4.766666667,23,Tech 1,0.1
2022-02-16T00:00:00Z,Nellie,270022,22.7,2011-02-08T00:00:00Z,4026,134.2,Canine,PMI,120,N,286,4.766666667,23,Resident 1,14
2022-02-16T00:00:00Z,Nellie,270022,22.7,2011-02-08T00:00:00Z,4026,134.2,Canine,PMI,120,N,286,4.766666667,23,Anesthesia,2.87
2022-02-23T00:00:00Z,Tillie,267911,14.7,2021-06-22T00:00:00Z,246,8.2,Canine,BPV,65,N,1036,17.26666667,24,Faculty,11.31
2022-02-23T00:00:00Z,Tillie,267911,14.7,2021-06-22T00:00:00Z,246,8.2,Canine,BPV,65,N,1036,17.26666667,24,Tech 1,0.89
2022-02-23T00:00:00Z,Tillie,267911,14.7,2021-06-22T00:00:00Z,246,8.2,Canine,BPV,65,N,1036,17.26666667,24,Resident 1,110
2022-02-23T00:00:00Z,Tillie,267911,14.7,2021-06-22T00:00:00Z,246,8.2,Canine,BPV,65,N,1036,17.26666667,24,Resident 2,0.97
2022-02-23T00:00:00Z,Tillie,267911,14.7,2021-06-22T00:00:00Z,246,8.2,Canine,BPV,65,N,1036,17.26666667,24,Anesthesia,84.94
2022-03-09T00:00:00Z,Fang,262175,2.79,2020-10-15T00:00:00Z,510,17,Canine,BPV,130,N,1473,24.55,25,Faculty,0.56
2022-03-09T00:00:00Z,Fang,262175,2.79,2020-10-15T00:00:00Z,510,17,Canine,BPV,130,N,1473,24.55,25,Tech 1,0.08
2022-03-09T00:00:00Z,Fang,262175,2.79,2020-10-15T00:00:00Z,510,17,Canine,BPV,130,N,1473,24.55,25,Resident 1,8
2022-03-09T00:00:00Z,Fang,262175,2.79,2020-10-15T00:00:00Z,510,17,Canine,BPV,130,N,1473,24.55,25,Resident 2,2.97
2022-03-09T00:00:00Z,Fang,262175,2.79,2020-10-15T00:00:00Z,510,17,Canine,BPV,130,N,1473,24.55,25,Anesthesia,13.1
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,Faculty,2.08
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,Tech 1,0.33
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,Resident 1,40
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,Resident 2,0.33
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,TEE,0.05
2022-03-16T00:00:00Z,Daisy Joy,270574,4.76,2021-11-06T00:00:00Z,130,4.333333333,Canine,BPV,82,N,1102,18.36666667,26,Anesthesia,0.23
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,Faculty,4.04
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,Tech 1,0.18
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,Resident 1,72
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,Resident 2,0.82
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,TEE,4.43
2022-03-16T00:00:00Z,Luna,269162,23.6,2014-01-18T00:00:00Z,2979,99.3,Canine,PDA,125,N,445,7.416666667,27,Anesthesia,4.87
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,Faculty,0.02
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,Tech 1,0.18
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,Resident 1,30
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,Resident 2,2.48
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,TEE,1.33
2022-03-23T00:00:00Z,Alegna,270489,10.4,2021-04-21T00:00:00Z,336,11.2,Canine,BPV,95,N,669,11.15,28,Anesthesia,8.12
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,Faculty,0.05
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,Tech 1,0.31
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,Resident 1,10
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,Resident 2,1.87
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,TEE,6.35
2022-03-23T00:00:00Z,Asher,270132,33,2018-04-25T00:00:00Z,1428,47.6,Canine,PDA,100,N,270,4.5,29,Anesthesia,4.45
2022-03-30T00:00:00Z,Semper,269099,18.5,2021-11-19T00:00:00Z,131,4.366666667,Canine,BPV,100,N,789,13.15,30,Faculty,0.56
2022-03-30T00:00:00Z,Semper,269099,18.5,2021-11-19T00:00:00Z,131,4.366666667,Canine,BPV,100,N,789,13.15,30,Tech 1,0.64
2022-03-30T00:00:00Z,Semper,269099,18.5,2021-11-19T00:00:00Z,131,4.366666667,Canine,BPV,100,N,789,13.15,30,Resident 1,20
2022-03-30T00:00:00Z,Semper,269099,18.5,2021-11-19T00:00:00Z,131,4.366666667,Canine,BPV,100,N,789,13.15,30,Resident 2,1.36
2022-03-30T00:00:00Z,Semper,269099,18.5,2021-11-19T00:00:00Z,131,4.366666667,Canine,BPV,100,N,789,13.15,30,Anesthesia,24.47
2022-03-30T00:00:00Z,Boomer,270546,3.7,2021-09-29T00:00:00Z,182,6.066666667,Canine,BPV,125,N,2330,38.83333333,31,Faculty,13.23
2022-03-30T00:00:00Z,Boomer,270546,3.7,2021-09-29T00:00:00Z,182,6.066666667,Canine,BPV,125,N,2330,38.83333333,31,Tech 1,0.03
2022-03-30T00:00:00Z,Boomer,270546,3.7,2021-09-29T00:00:00Z,182,6.066666667,Canine,BPV,125,N,2330,38.83333333,31,Resident 1,10
2022-03-30T00:00:00Z,Boomer,270546,3.7,2021-09-29T00:00:00Z,182,6.066666667,Canine,BPV,125,N,2330,38.83333333,31,Resident 2,4.99
2022-03-30T00:00:00Z,Boomer,270546,3.7,2021-09-29T00:00:00Z,182,6.066666667,Canine,BPV,125,N,2330,38.83333333,31,Anesthesia,1.54
2022-04-06T00:00:00Z,Sassy,271946,8.7,2021-12-28T00:00:00Z,99,3.3,Canine,PDA,195,N,282,4.7,32,Faculty,0.47
2022-04-06T00:00:00Z,Sassy,271946,8.7,2021-12-28T00:00:00Z,99,3.3,Canine,PDA,195,N,282,4.7,32,Tech 1,0.02
2022-04-06T00:00:00Z,Sassy,271946,8.7,2021-12-28T00:00:00Z,99,3.3,Canine,PDA,195,N,282,4.7,32,Resident 1,2
2022-04-06T00:00:00Z,Sassy,271946,8.7,2021-12-28T00:00:00Z,99,3.3,Canine,PDA,195,N,282,4.7,32,Resident 2,0.13
2022-04-06T00:00:00Z,Sassy,271946,8.7,2021-12-28T00:00:00Z,99,3.3,Canine,PDA,195,N,282,4.7,32,Anesthesia,1.71
2022-04-13T00:00:00Z,Spike,240485,8,2009-11-16T00:00:00Z,4531,151.0333333,Canine,PMI,103,N,340,5.666666667,33,Faculty,6.3
2022-04-13T00:00:00Z,Spike,240485,8,2009-11-16T00:00:00Z,4531,151.0333333,Canine,PMI,103,N,340,5.666666667,33,Resident 1,41
2022-04-13T00:00:00Z,Spike,240485,8,2009-11-16T00:00:00Z,4531,151.0333333,Canine,PMI,103,N,340,5.666666667,33,Anesthesia,3.43
2022-04-20T00:00:00Z,Xena,472446,8.5,2022-01-17T00:00:00Z,93,3.1,Canine,PDA,68,N,263,4.383333333,34,Faculty,1.08
2022-04-20T00:00:00Z,Xena,472446,8.5,2022-01-17T00:00:00Z,93,3.1,Canine,PDA,68,N,263,4.383333333,34,Tech 1,0
2022-04-20T00:00:00Z,Xena,472446,8.5,2022-01-17T00:00:00Z,93,3.1,Canine,PDA,68,N,263,4.383333333,34,Resident 1,4
2022-04-20T00:00:00Z,Xena,472446,8.5,2022-01-17T00:00:00Z,93,3.1,Canine,PDA,68,N,263,4.383333333,34,TEE,1.67
2022-04-20T00:00:00Z,Xena,472446,8.5,2022-01-17T00:00:00Z,93,3.1,Canine,PDA,68,N,263,4.383333333,34,Anesthesia,4.82
2022-04-22T00:00:00Z,Bandit,472757,35.9,2017-12-20T00:00:00Z,1584,52.8,Canine,PMI,72,N,291,4.85,35,Faculty,3.58
